π1(S11),80
π1(S12),91
π1(S16),96
π1(S17),103
π1(S18),107
π1(S2),3
π1(S20),111
π1(S25),129
π1(S26),146
π1(S27),163
π1(S28),174
π1(S29),184
π1(S30),191
π1(S4),29
π1(S5),34
π1(S6),45
π1(S8),55
π1(TestS1),211
π1(π2(S11)),81
π1(π2(S12)),92
π1(π2(S16)),97
π1(π2(S17)),104
π1(π2(S18)),108
π1(π2(S2)),4
π1(π2(S20)),112
π1(π2(S25)),130
π1(π2(S26)),147
π1(π2(S27)),164
π1(π2(S28)),175
π1(π2(S29)),185
π1(π2(S30)),192
π1(π2(S4)),30
π1(π2(S5)),35
π1(π2(S6)),46
π1(π2(S8)),56
π1(π2(π2(S10))),70
π1(π2(π2(S22))),125
π1(π2(π2(S8))),57
π1(π2(π2(π2(S1)))),0
π1(π2(π2(π2(S21)))),119
π1(π2(π2(π2(S22)))),126
π1(π2(π2(π2(S3)))),9
π1(π2(π2(π2(π2(S11))))),82
π1(π2(π2(π2(π2(S16))))),98
π1(π2(π2(π2(π2(S17))))),105
π1(π2(π2(π2(π2(S2))))),5
π1(π2(π2(π2(π2(S25))))),131
π1(π2(π2(π2(π2(S26))))),148
π1(π2(π2(π2(π2(S27))))),165
π1(π2(π2(π2(π2(S28))))),176
π1(π2(π2(π2(π2(S29))))),186
π1(π2(π2(π2(π2(S6))))),47
π1(π2(π2(π2(π2(π2(S1)))))),1
π1(π2(π2(π2(π2(π2(S10)))))),71
π1(π2(π2(π2(π2(π2(S12)))))),93
π1(π2(π2(π2(π2(π2(S17)))))),106
π1(π2(π2(π2(π2(π2(S2)))))),6
π1(π2(π2(π2(π2(π2(S21)))))),120
π1(π2(π2(π2(π2(π2(S3)))))),10
π1(π2(π2(π2(π2(π2(S30)))))),193
π1(π2(π2(π2(π2(π2(S4)))))),31
π1(π2(π2(π2(π2(π2(S5)))))),36
π1(π2(π2(π2(π2(π2(S6)))))),48
π1(π2(π2(π2(π2(π2(S8)))))),58
π1(π2(π2(π2(π2(π2(π2(S1))))))),2
π1(π2(π2(π2(π2(π2(π2(S10))))))),72
π1(π2(π2(π2(π2(π2(π2(S18))))))),109
π1(π2(π2(π2(π2(π2(π2(S21))))))),121
π1(π2(π2(π2(π2(π2(π2(S22))))))),127
π1(π2(π2(π2(π2(π2(π2(S3))))))),11
π1(π2(π2(π2(π2(π2(π2(S8))))))),59
π1(π2(π2(π2(π2(π2(π2(π2(S11)))))))),83
π1(π2(π2(π2(π2(π2(π2(π2(S12)))))))),94
π1(π2(π2(π2(π2(π2(π2(π2(S16)))))))),99
π1(π2(π2(π2(π2(π2(π2(π2(S18)))))))),110
π1(π2(π2(π2(π2(π2(π2(π2(S21)))))))),122
π1(π2(π2(π2(π2(π2(π2(π2(S22)))))))),128
π1(π2(π2(π2(π2(π2(π2(π2(S25)))))))),132
π1(π2(π2(π2(π2(π2(π2(π2(S26)))))))),149
π1(π2(π2(π2(π2(π2(π2(π2(S28)))))))),177
π1(π2(π2(π2(π2(π2(π2(π2(S29)))))))),187
π1(π2(π2(π2(π2(π2(π2(π2(S30)))))))),194
π1(π2(π2(π2(π2(π2(π2(π2(S5)))))))),37
π1(π2(π2(π2(π2(π2(π2(π2(π2(S10))))))))),73
π1(π2(π2(π2(π2(π2(π2(π2(π2(S11))))))))),84
π1(π2(π2(π2(π2(π2(π2(π2(π2(S12))))))))),95
π1(π2(π2(π2(π2(π2(π2(π2(π2(S16))))))))),100
