204,205,76
204,203,1
202,203,77
197,198,75
194,195,74
191,192,73
189,190,72
187,188,71
184,185,70
182,183,69
180,181,68
177,178,67
174,175,66
171,172,60
168,169,65
163,164,61
160,161,60
158,159,59
152,153,57
149,150,56
146,147,24
144,145,55
137,138,53
134,135,52
132,133,44
129,130,51
127,128,3
125,126,50
123,124,49
113,114,3
111,112,44
109,110,45
107,108,44
105,106,43
103,104,42
96,97,40
94,95,39
91,92,38
88,89,36
86,87,35
83,84,34
80,81,33
78,79,32
75,76,31
73,74,29
73,72,1
71,72,30
68,69,27
62,63,25
58,60,24
58,59,23
53,54,21
47,48,19
45,46,18
43,44,17
40,41,16
37,38,15
34,35,14
32,33,13
29,30,8
24,25,11
18,19,5
16,17,9
14,15,8
10,11,6
7,8,5
5,6,4
3,4,3
1,2,2
