π1(S11),80
π1(S2),3
π1(S4),29
π1(S5),34
π1(S6),45
π1(S8),55
π1(TestS1),83
π1(π2(S2)),4
π1(π2(S4)),30
π1(π2(S5)),35
π1(π2(S6)),46
π1(π2(S8)),56
π1(π2(π2(S10))),70
π1(π2(π2(S8))),57
π1(π2(π2(π2(S1)))),0
π1(π2(π2(π2(S3)))),9
π1(π2(π2(π2(π2(S2))))),5
π1(π2(π2(π2(π2(S6))))),47
π1(π2(π2(π2(π2(π2(S1)))))),1
π1(π2(π2(π2(π2(π2(S10)))))),71
π1(π2(π2(π2(π2(π2(S2)))))),6
π1(π2(π2(π2(π2(π2(S3)))))),10
π1(π2(π2(π2(π2(π2(S4)))))),31
π1(π2(π2(π2(π2(π2(S5)))))),36
π1(π2(π2(π2(π2(π2(S6)))))),48
π1(π2(π2(π2(π2(π2(S8)))))),58
π1(π2(π2(π2(π2(π2(π2(S1))))))),2
π1(π2(π2(π2(π2(π2(π2(S10))))))),72
π1(π2(π2(π2(π2(π2(π2(S3))))))),11
π1(π2(π2(π2(π2(π2(π2(S8))))))),59
π1(π2(π2(π2(π2(π2(π2(π2(S5)))))))),37
π1(π2(π2(π2(π2(π2(π2(π2(π2(S10))))))))),73
π1(π2(π2(π2(π2(π2(π2(π2(π2(S2))))))))),7
π1(π2(π2(π2(π2(π2(π2(π2(π2(S4))))))))),32
π1(π2(π2(π2(π2(π2(π2(π2(π2(S5))))))))),38
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(S2)))))))))),8
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(S4)))))))))),33
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(S6)))))))))),49
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(S8)))))))))),60
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S10))))))))))),74
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S3))))))))))),12
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S5))))))))))))),39
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S6))))))))))))),50
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S8))))))))))))),61
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S6)))))))))))))),51
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S10))))))))))))))),75
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S3))))))))))))))),13
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S5))))))))))))))),40
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S6))))))))))))))),52
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S10)))))))))))))))),76
π1(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(π2(S5)))))))))))))))),41
